"Study.Num","FRE"
1,43.6444263310688
3,52.7287105993524
4,32.5763596642347
5,46.2886197368606
6,41.426129368601
7,29.8482106606129
8,25.9286405452779
104,43.9604942602041
106,46.7839495273525
107,43.9172624832857
10,36.9796191101033
110,22.3169620580056
111,47.4901815934052
112,34.0537932428064
113,43.3321333333334
114,26.2423726372638
115,53.9267708761827
116,36.8982846799307
117,44.8840858427388
118,37.5502296898544
11,26.7723971719763
120,32.5220480092206
121,32.0403103903526
122,34.3035330022556
124,26.6770796460177
127,37.714344245117
129,26.1965169660679
12,25.340697938877
132,33.7751024390244
133,29.092572625791
134,53.7375236529515
135,22.1172283817484
136,37.7206636838005
139,49.2025741635047
13,35.7716183360714
140,34.8371577968859
142,31.5620948395674
145,33.9938659651544
146,36.8369206069044
148,38.6914632237872
14,33.6487924735112
150,42.8509309528746
151,37.6024933757287
153,38.5700417423854
154,26.8008917378918
155,23.3350100081147
158,22.3417871383003
15,34.7432003098917
161,45.1150344290467
165,27.2348754062839
167,39.0923149777829
17,32.7601774843522
19,42.3735351853526
201,28.3123696833667
202,31.4140225052533
203,35.2593835351522
204,21.3845213657746
205,17.6870022948376
206,24.7614040421462
207,31.4831932315574
208,25.8668774470096
209,24.6401118487048
20,45.6691146486617
210,30.3541289890956
211,35.6779825736128
212,28.4388603275355
213,44.6659202866735
214,43.137979313081
215,26.1420211018967
216,31.2767496274218
217,25.6249168297456
218,31.533860426193
219,43.8572053982884
220,40.9492096407363
221,39.7982474446337
222,43.437992481203
22,35.8600021077101
24,38.4060987795844
25,36.6003781833055
26,42.610883519522
27,38.6324245601977
28,32.2065488652862
29,30.7816109624467
32,51.1340830212421
33,30.6129948914523
36,33.4880328965384
37,40.1309732727557
39,42.1133311438753
43,38.4365727740712
44,38.7485251648353
46,29.0498814015101
48,31.1396413226853
49,37.0859050479756
52,35.912582203374
53,25.0614793751863
55,22.7066744050965
56,42.8908449076381
58,21.6936746593311
59,26.4916900209696
61,30.1858899273063
63,41.5093317618727
64,34.1106990054552
65,36.6865006375709
68,41.8828644016973
69,27.9219585001638
71,38.2282269221122
72,31.7643319766858
73,28.7491733303726
77,29.8203029326458
80,27.7929122685414
81,30.8211702116786
82,31.3690630797774
84,15.8151215340621
86,17.9370221496256
87,33.5821987781794
89,18.4651111127472
93,27.4228931314494
94,34.8001384544844
97,24.2917270569366
